imagePath,title,caption,labels
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\10673.jpg,Doodle Girl Ballet School Black Tops,a black tops for women casual(fall 2011).,ArticleType=Tops; Colour=Black; Gender=Women; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\7721.jpg,Puma Women Exsis 2 White Blue Shoe,a white sports shoes for women sports(fall 2011).,ArticleType=Sports Shoes; Colour=White; Gender=Women; Season=Fall; Usage=Sports; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\44604.jpg,Van Heusen Men Brown Wallet,a brown wallets for men formal(summer 2012).,ArticleType=Wallets; Colour=Brown; Gender=Men; Season=Summer; Usage=Formal; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\41762.jpg,Remanika Women Multi Coloured Top,a multi tops for women casual(summer 2012).,ArticleType=Tops; Colour=Multi; Gender=Women; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\18520.jpg,C Vox Women Solid 1354 Black Jacket,a black jackets for women casual(fall 2011).,ArticleType=Jackets; Colour=Black; Gender=Women; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\5161.jpg,Ed Hardy Men's Eagle Shield Anchor Collage Black T-shirt,a black tshirts for men casual(summer 2011).,ArticleType=Tshirts; Colour=Black; Gender=Men; Season=Summer; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\50849.jpg,Fabindia Women Blue Stole,a blue stoles for women casual(summer 2012).,ArticleType=Stoles; Colour=Blue; Gender=Women; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\8514.jpg,Nike Unisex Ultimatum Max Grey Backpacks,a grey backpacks for unisex sports(summer 2011).,ArticleType=Backpacks; Colour=Grey; Gender=Unisex; Season=Summer; Usage=Sports; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\59404.jpg,Tokyo Talkies Women Blue Top,a blue tops for women casual(fall 2012).,ArticleType=Tops; Colour=Blue; Gender=Women; Season=Fall; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\50659.jpg,Chromozome Men Navy Blue Lounge Shorts,a navy blue lounge shorts for men casual(winter 2016).,ArticleType=Lounge Shorts; Colour=Navy Blue; Gender=Men; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\35466.jpg,Franco Leone Men Brown Casual Shoes,a brown casual shoes for men casual(fall 2012).,ArticleType=Casual Shoes; Colour=Brown; Gender=Men; Season=Fall; Usage=Casual; Year=2012
